PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24
PBANKA_0800500	0.941531258393623	0.224525268196349	-0.17999693315728	-0.0290957300019623	0.0101465313399238	0.101536348918284	-0.0576388108080187	-0.0798727311517514	-0.0224574668721624	0.048107893459305	0.0344989900966896	0.0201886737886497	-0.0314855490954577	-0.0161873670927577	-0.0154412372842029	-0.00596796744192066	-0.0561757836643458	-0.00992202013479006	0.0135333240242574	0.00881711734958695	0.0167621202506143	0.00200329143022848	-0.00185456053297187	2.5691833825956e-14
PBANKA_0716800	0.871396247882393	0.372539582376797	-0.279864628707789	0.0510293754205085	-0.0276557414329834	0.0594909032363224	-0.0322110091558305	-0.0648801117439184	-0.0401618303528916	0.0430734965603337	0.00216136370265231	0.00650230976921176	-0.0196945238571081	-0.0111346653161657	-0.0431013698564054	-0.00651244140847082	-0.0673861673797986	0.0134257137225594	0.00883998731407607	-0.0116555389134362	0.0209943592533621	0.0063860133862263	-0.00772746453620344	2.67011039472609e-15
PBANKA_1432300	0.924177383014874	0.311421485428374	-0.15584742714719	-0.0115344580825485	-0.0208522591264833	0.0912027237182682	-0.0796680225730922	-0.047463382882844	-0.0368732626186048	0.0208080599963418	0.0117661771765035	0.0130531916966038	-0.0322962767633917	0.0168762618348121	-0.0266780386947968	-0.000297821259402699	-0.039830321172258	-0.0210546806511597	0.00600710889495717	0.0245381143571798	0.016296367338738	0.00795664058814229	0.000945972758931666	1.31152940489437e-15
PBANKA_1225400	0.935894710627664	0.254903122958023	-0.187069692458744	-0.0109234616951474	0.0101000680235051	0.0594346261229623	-0.107044727135277	-0.0256763369451558	-0.0385479072208249	0.0432176096626317	0.0234951980719519	-0.00393650791914277	-0.00838354158938484	-0.00870716982119889	-0.0134092831061644	-0.000232977320034798	-0.0445857784004224	-0.00414915974235845	0.0113082484466819	0.0239608721105009	0.0361148197345089	-0.000347322216582881	-0.000263941605163542	9.09235473263493e-15
PBANKA_0701900	0.916731776268833	0.233348625066191	-0.268994177530352	0.0187729848488909	0.0273072041767654	0.0878088902215926	-0.0850122522344929	-0.0453313678521472	0.0103903552581079	0.0508293726444763	0.0323067842629971	-0.0314492501790762	-0.0324354470571187	-0.0451488935166881	-0.0279787497151948	-0.0363830468823656	-0.0475031402849255	-0.0101674035960307	-0.0360075841826934	-0.0185437225115931	0.0257787739090234	0.00874544241706104	0.0063342534643998	5.28459116031053e-15
PBANKA_0820200	0.917408333162164	0.208806740587888	-0.299820482433905	-0.0364506616072557	0.0706349885661903	-0.0223890733363684	-0.0586384032035084	-0.0406699715559923	0.0137029705807738	0.0476083007494678	0.00650236874396321	0.0202761119105473	-0.0368046465983492	0.0116939151410822	-0.0408520299014581	0.014680973134287	-0.0445635453235126	-0.0402271555809433	0.0352690240243869	-0.0106147277312163	0.0407932018485508	0.00553483471310058	-0.00432894340026821	-5.09149922709942e-15
PBANKA_1456700	0.923811726368298	0.274468071184894	-0.236262694262605	-0.0175454771738567	0.00841451213951786	0.0500879817992109	-0.0416151942222498	-0.0262968844891689	0.00352783046275629	0.0608838053939599	0.0102788703105358	-0.0283485218751618	-0.0406849879066158	0.0468678359353578	-0.0304938194045191	0.0132907054309557	-0.00701720751283292	-0.00634569618262399	0.00637913244926292	-0.00504945588649623	0.011863173790746	-0.0137935533017019	-0.00588688546231859	-2.34090621475454e-15
PBANKA_1034500	0.89477132119121	0.33791209544546	-0.2326070769198	0.0147898292321877	-0.0234137081161171	0.112278751926425	-0.0473924017941299	-0.0788095146007563	-0.00790738593472614	0.0562198112146947	0.0463484547191258	-0.0185810301875362	0.0201146021054616	0.0182534567358062	-0.0242062029360447	-0.00688919971388029	-0.0200811800362557	-0.0246970525856914	0.0126654565631215	0.0104839736387214	0.0290172727260151	0.00375019686043191	-0.00598340713958885	1.06288336177225e-15
PBANKA_1106900	0.946024718189591	0.0380052049628121	-0.235530513215784	0.0240419062924891	-0.00211239931055382	0.150943546012723	-0.0739205376279303	-0.0724714016574945	-0.0751455981267876	0.0202211517987136	0.0491748586456113	0.0237374908175834	0.00613851918930808	-0.0170946611516293	-0.0266272645202892	-0.0091352067360619	-0.0185889294109169	-0.023605465962932	0.0323163925373645	0.0141961474357432	0.0366763011255184	-0.000121322817726875	-0.0195412308267897	1.14353576900005e-15
PBANKA_0908600	0.921834128686796	0.35028459006495	-0.0247592710095935	-0.0377646250402201	0.0447385490740955	0.0957714692224023	-0.0603291060662313	-0.0549402834839168	-0.0416783696581663	0.0309055998141911	0.000986747109670161	-0.0610097304992016	-0.00174865428515585	0.010878685417077	0.00221590014827925	-0.0200764007450615	-0.012090304977196	0.00875046347207761	0.00654937458352371	0.00457921165253401	0.0151207101037344	0.0126346281102881	0.00565247226006386	3.15627035597564e-15
PBANKA_0510700	0.970889775647589	0.171982705467106	-0.109084656366767	0.0212086903998119	0.0406769246872266	0.02569810708606	-0.0315226938217339	-0.0485070776300288	-0.0155847719187257	0.0523960124069321	0.0217393182816457	-0.0264609358888065	-0.0486460762273745	0.0243260178758326	-0.0386578462289573	0.00510039324333085	-0.0169123655028458	-0.00921334397398643	0.0158029865259195	0.00957585848784567	-0.000105471035263321	-0.0102974541379496	-0.0180571540314529	-8.50919990059317e-16
PBANKA_0832800	0.918626060856754	0.263052700124181	-0.222981525279974	0.0162462927908546	0.0468628326905337	0.0444322854804371	-0.0868174632507573	-0.0539239465376142	-0.0232703293032676	0.0912893512287361	0.058389619002534	-0.0538737177834256	-0.00261975514468728	-0.0520397645276208	-0.0370295175261427	-0.0185137812241761	-0.0312645647680002	-0.0104159360709058	-0.0087208302669239	-0.0247338088432408	0.0282024418946551	0.0088020288139373	0.00817073033127513	-2.60082450508094e-15
PBANKA_1329100	-0.929915618386464	0.205862290589032	0.113554158685131	-0.229148607232575	0.0516540232557696	0.00845263725810403	-0.0148728654775595	0.0292561310857626	0.0223350349623588	-0.0637204148926997	0.0384712339202252	-0.0325126755752066	-0.0811294214759942	0.05477628296296	-0.025285048733037	-0.0111108902152762	-0.0437458519331132	-0.0103947407827223	0.00432705006100928	-0.0180131497668685	0.0554975945029165	-0.0277516123756268	0.000879463941374644	-1.47704678327172e-15
PBANKA_0511000	0.863957941519476	0.433036984303918	-0.0418950700903624	0.00515266783557091	-0.00954720020325634	0.185992892831644	0.0646933001228713	-0.122106879674049	0.0368185386497602	0.0408924481985576	-0.0169446679515324	-0.037465138599005	0.0069572544177441	0.00915418964507839	-0.0392399409753567	-0.0104242035227217	-0.0102153793232973	0.019312002765163	0.0274518062850961	-0.0477986018282291	-0.00634476964458244	-0.0200941371507284	-0.00593627258535345	1.29691068786596e-15
PBANKA_0706600	0.901825291008516	0.0606335575498828	-0.372076935900193	0.0166226534368178	-0.0455405360688266	0.116636087167396	-0.0302837838198888	-0.102073131748402	-0.044324385809135	0.084655550203519	0.0431883793832498	-0.0141424015236008	-0.0311952201747446	0.0384745961749156	-0.0247180501418939	-0.0132679943006395	-0.0179575091931668	-0.0217399771246051	0.0368825941457488	-0.0182744067707665	0.0192792777666169	0.00224159196440849	0.000446783962894416	-1.90868268327986e-15
PBANKA_0711600	0.90523759413586	0.194347086808188	-0.332486788469872	0.0203689919223469	0.0161871593488902	0.109959801170329	-0.0677170134852449	-0.0408938845462148	-0.0454103408917157	0.0409154619128442	0.0357329693940814	0.0388609664504977	-0.0246368799787662	0.0250640548259568	-0.0148882192927477	0.0125079428698003	-0.048798089775094	-0.0310454927106468	0.0313036652774386	-0.0125185253869238	0.0229997909030674	-0.00719702334648439	0.00129653742002564	2.38855002183906e-15
PBANKA_0901900	-0.958608960239467	-0.208519113019702	0.010311431807021	-0.153280760907862	0.046295234187736	-0.0201486690997303	0.00522197401905796	0.00484074485858109	-0.0243633038553618	0.0236081834598457	0.00899548079435553	-0.0255273706859144	-0.0481333725849286	0.0263950985693146	-0.0502576536675307	-0.00618569662296289	-0.0321981441625533	-0.032976323894675	-0.00873557070576121	-0.024551832048221	0.0238380693161966	-0.0188506113518738	-0.0141224778615361	-2.6694010479091e-15
PBANKA_1434600	-0.943875047054719	-0.205905761611967	0.134028971547296	-0.168591883352888	0.0568747757512601	-0.0318939150141484	-0.0197778174389144	-0.0138438575638226	0.00218650744920949	-0.00518274716175148	0.0136149830340883	-0.0121753672599273	-0.0887363802661893	0.0403874571876471	-0.0115616340746982	-0.0257212064099113	-0.0450943762825204	-0.0331233853186792	0.00857681420550188	-0.0129430892574999	0.0378277688797998	-0.000434663854529536	-0.00350423360603281	-1.9364278303686e-15
PBANKA_1410950	0.952364550794008	0.180007593990487	-0.21187081580713	-0.0317449023124462	-0.0215254317723697	0.0113542756314997	-0.0827532793138359	-0.0251429037049222	-0.0211636999222147	0.0447386890202881	0.033406579822172	-0.00521671855688308	-0.0371715096194533	0.0152520049806809	-0.023706015615229	-0.00052596263152223	-0.0163606700781329	-0.0144128862179228	0.00784498577647893	0.00322179208447057	0.0172136970748163	-0.000712092502803152	0.0040130579143474	-1.24896897993161e-15
PBANKA_1218100	0.922209879609842	0.164285548814136	-0.238513706378424	0.0814996703386082	0.0430999309690991	0.166742975184584	-0.0540509606330854	-0.0994433822284805	-0.077290119959307	0.0711581185637999	0.0025317848507636	-0.0200438898194726	-0.0151393860924994	-0.00913112489990372	-0.0173248802855824	-0.035724347140343	-0.0270044718725833	-0.0143539363640334	-0.0247382982583406	-0.00295859788066693	0.0355733309024715	0.00661659857528813	0.0183650152196572	3.29865020519576e-16
PBANKA_0711400	0.911827475395196	0.136184018431812	-0.355050788511754	-0.0256248056814866	0.0226152977580776	0.0672907179244897	-0.0443284760848627	-0.07361826869329	-0.0240441853742028	0.0324847583069188	0.0383709309461463	0.0305789321048332	-0.014834269199996	0.020022511571884	-0.0315974040912122	0.0133659445586585	-0.0402304772486211	-0.018273760871883	0.0428831124076633	0.00844157632885554	0.0334108584822122	0.00434347029311842	-0.00679281608165995	1.02890674970294e-15
PBANKA_1037800	0.953735823549137	0.130487046368138	-0.2086309464121	-0.116148681629604	0.060214796876314	-0.0278833188228526	-0.0787217004914795	0.00740401506753299	-0.0268417972444286	0.00951469094511875	0.0339280967423232	0.0189885408353783	-0.0136339434884634	0.0122991878350148	-0.0154404483274418	0.0124657201874889	-0.0274460908824202	-0.014901183415946	0.0210941613178006	0.00642145553404255	0.0341358527953005	0.000420184386585586	0.00280748000138593	2.83731426597934e-15
PBANKA_1201800	-0.953075192067143	-0.0876506473882332	0.177299253427808	-0.175955539396873	0.0643716591092335	-0.00217807039955424	0.0281563507283871	0.00271249214446152	0.0320359425380146	-0.0491576280279239	0.0268355555369532	-0.0199350094638937	-0.0611720851534604	0.0334376024338881	-0.0552506407814704	-0.0155611925421521	-0.0426302944933469	-0.0302937102968951	0.00377319501872509	-0.0148573722340478	0.0154283431656489	-0.0263915393559367	0.00113557320321062	-1.00314921736688e-15
PBANKA_0403200	0.958823819124293	0.165957992988672	0.0655074121731999	0.0443815793238035	-0.0552881175093504	0.053148349079451	-0.118658823387256	-0.0968074756353056	-0.00192990845034318	-0.0007456888913437	0.0682041532764892	-0.0121427211018829	0.0146393260978704	-0.0537074645256272	-0.00869659000138323	-0.0543774650181182	0.0155421213226206	-0.0618226669199823	-0.0406036461797164	-2.77334446891012e-05	0.0248564259483876	0.0087990846905932	-0.0133551499018534	2.04177351948385e-17
PBANKA_1138600	-0.948528843633077	0.117803830892626	0.0587928891079933	-0.18704484951759	0.131032125667335	0.0738630472772128	0.00857128991761629	0.0403065779953793	0.0446536860926379	-0.0570097320877737	0.0508389280843009	-0.0176467422653904	-0.0693780785537631	0.0463414915597572	-0.0123001986934827	-0.00164194679060111	-0.0653645797931683	-0.0234973369521628	-0.000351144045171366	-0.0157890766048344	0.051774428618335	-0.0242658519278293	-0.0071591528196315	3.46322613169281e-16
