PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24
PBANKA_0800500	7.16836631042807e-12	0.291531634676319	0.399993238839982	0.892644885506332	0.962469313269763	0.636860097694237	0.789069181025977	0.710637724690362	0.917043775729577	0.823358845150665	0.872853774698106	0.92540049673892	0.883883065156366	0.94015678430779	0.942910669624639	0.977920317741855	0.794309797692293	0.963299199649097	0.949955388186892	0.967383900736805	0.938035883928191	0.992587644226779	0.993137948599139	0.999999999999905
PBANKA_0716800	2.98965189168634e-08	0.0730039470909693	0.185333540408699	0.812811717043987	0.897930286789222	0.782447653324113	0.881225867182468	0.763265108628946	0.852191195064303	0.84160285431781	0.992002780363283	0.975943946329885	0.927221661312004	0.958817221632943	0.841501618085747	0.975906473737348	0.754390062662382	0.950352838280666	0.967299344644174	0.956892418939769	0.922431967143651	0.976374080338197	0.97141300444822	0.99999999999999
PBANKA_1432300	1.15207299625309e-10	0.138519210876434	0.467105357014958	0.957339832762866	0.922955459927184	0.671687128225065	0.711348332773255	0.825689723053722	0.864179918060715	0.92311829459062	0.956483603182546	0.95172880689277	0.880913632097788	0.937614737525668	0.901521308017342	0.998898020539274	0.853398343130044	0.922209754283288	0.977775540874312	0.909387522595654	0.939754531027907	0.970565542792232	0.99649978060139	0.999999999999995
PBANKA_1225400	1.92118641635216e-11	0.229331124978116	0.381415648016486	0.959597754090186	0.96264105785127	0.782648639718708	0.61859012450982	0.90520241978568	0.858071072441375	0.841079459644694	0.913224252786654	0.985435129434849	0.968987004443042	0.967790409541013	0.950413524469098	0.999137951899526	0.836113782828727	0.984648416948894	0.958175748405489	0.911510871459439	0.866949108068678	0.998714860352976	0.999023379839448	0.999999999999966
PBANKA_0701900	3.11618481320512e-10	0.272474983101588	0.203717608840464	0.930618887286789	0.899210215938685	0.683274159236088	0.692874843873439	0.83341025819251	0.96156808196492	0.813532782304579	0.8808751566601	0.884016052126038	0.880404051789265	0.834071746285064	0.8967443277609	0.865969594804911	0.825545898508248	0.962392162676711	0.867340764654771	0.931464240949406	0.904825890249857	0.967648903451148	0.976565521738399	0.99999999999998
PBANKA_0820200	2.85789097412249e-10	0.327490222764319	0.154621827920729	0.865722709161772	0.74292945289639	0.917295571709617	0.785493686704064	0.850341489975318	0.949328835668337	0.825165501117096	0.975943728207405	0.925078285560425	0.864430382229963	0.956750615020849	0.84967895793454	0.945717376020252	0.836194428288034	0.851953359529964	0.870039027071689	0.960738788159399	0.849893029463944	0.979522438344534	0.983983312134058	0.999999999999981
PBANKA_1456700	1.21258078913212e-10	0.194311935699832	0.266359629669744	0.935145874325023	0.968872489944916	0.816206979223379	0.846902790980438	0.902921767600546	0.986947081630899	0.777477418287237	0.961980151295776	0.895386933699085	0.850286839959077	0.827844794922134	0.887517510157594	0.950851496906447	0.974039624381815	0.976523199116284	0.976399530385193	0.981317903747589	0.956125202980987	0.948994300073754	0.978220226869925	0.999999999999991
PBANKA_1034500	3.68365206973945e-09	0.106317770805427	0.274045306474339	0.945315467145866	0.913524122256554	0.601430714195128	0.825946514493144	0.714331019593969	0.970747677178325	0.794151962118123	0.829725235235608	0.93132667230523	0.925673461236917	0.932534634205251	0.91060836499864	0.974513041964072	0.925796628895901	0.908802983505937	0.953161109607486	0.961222058196082	0.892932746582253	0.986124404236699	0.977863209125224	0.999999999999996
PBANKA_1106900	3.03786212552564e-12	0.860049918298142	0.267887825870992	0.91121275659169	0.992183947102522	0.481405523414983	0.731392928339776	0.736474474167911	0.727105647977929	0.925280813309511	0.819503348981531	0.912332723839201	0.977289483935136	0.936808958339796	0.901707849161308	0.966207874142462	0.931297544885827	0.912818503605309	0.880839974155162	0.947507561386927	0.864898906554001	0.99955108884272	0.92778668750553	0.999999999999996
PBANKA_0908600	1.59242610526304e-10	0.0933321714437976	0.90857417061307	0.860927402954204	0.835559685117683	0.656203062105885	0.77945572599596	0.798742148683602	0.846673056068425	0.886008165162889	0.996348911282156	0.777028498954524	0.99352980361819	0.95976323572597	0.991800997649782	0.925814241767926	0.955285990997262	0.967630339066908	0.975769874166786	0.983057468785253	0.944093897867287	0.953274996733295	0.979087299354873	0.999999999999988
